short_name,EN_longname,ZH_longname
Anhui,Anhui,安徽省
Fujian,Fujian,福建省
Gansu,Gansu,甘肃省
Guangdong,Guangdong,广东省
Guangxi,Guangxi,广西壮族自治区
Guizhou,Guizhou,贵州省
Hainan,Hainan,海南省
Hebei,Hebei,河北省
Heilongjiang,Heilongjiang,黑龙江省
Henan,Henan,河南省
Hubei,Hubei,湖北省
Hunan,Hunan,湖南省
Inner Mongolia,Inner Mongolia,内蒙古自治区
Jiangsu,Jiangsu,江苏省
Jiangxi,Jiangxi,江西省
Jilin,Jilin,吉林省
Liaoning,Liaoning,辽宁省
Ningxia,Ningxia,宁夏回族自治区
Qinghai,Qinghai,青海省
Shaanxi,Shaanxi,陕西省
Shandong,Shandong,山东省
Shanxi,Shanxi,山西省
Sichuan,Sichuan,四川省
Tibet,Tibet,西藏自治区
Xinjiang,Xinjiang,新疆维吾尔自治区
Yunnan,Yunnan,云南省
Zhejiang,Zhejiang,浙江省
