short_name,EN_longname,ZH_longname
Grand Est,Grand Est,Grand Est
Nouvelle-Aquitaine,Nouvelle-Aquitaine,Nouvelle-Aquitaine
Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté
Brittany,Brittany,布列塔尼
Brittany,Brittany,布列塔尼
Centre-Val de Loire,Centre-Val de Loire,中环
Corsica,Corsica,科西嘉島
Corsica,Corsica,科西嘉島
Hauts-de-France,Hauts-de-France,Hauts-de-France
Île-de-France,Île-de-France,法兰西堡
Occitanie,Occitanie,Occitanie
Normandy,Normandy,诺曼底
Pays de la Loire,Pays de la Loire,卢瓦尔河谷大区
Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,普罗旺斯-阿尔卑斯-蓝色海岸
