short_name,EN_longname,ZH_longname
Aichi Prefecture,Aichi Prefecture,爱知县
Chiba Prefecture,Chiba Prefecture,千叶市
Ehime Prefecture,Ehime Prefecture,爱媛县
Gunma Prefecture,Gunma Prefecture,群马县
Hyogo Prefecture,Hyogo Prefecture,兵库县
Ibaraki Prefecture,Ibaraki Prefecture,茨城县
Ishikawa Prefecture,Ishikawa Prefecture,石川县
Iwate Prefecture,Iwate Prefecture,岩手县
Kagawa Prefecture,Kagawa Prefecture,香川县
Kanagawa Prefecture,Kanagawa Prefecture,神奈川县
Kumamoto Prefecture,Kumamoto Prefecture,熊本县
Miyagi Prefecture,Miyagi Prefecture,宫城县
Shiga Prefecture,Shiga Prefecture,滋贺县
Shimane Prefecture,Shimane Prefecture,岛根县
Shizuoka Prefecture,Shizuoka Prefecture,静冈市
Tochigi Prefecture,Tochigi Prefecture,栃木县
Tokyo,Tokyo,东京都
Wakayama Prefecture,Wakayama Prefecture,和歌山市
Yamaguchi Prefecture,Yamaguchi Prefecture,山口市
Yamanashi Prefecture,Yamanashi Prefecture,山梨县
