short_name,EN_longname,ZH_longname
Adygea,Adygea,阿迪格共和国
Altai Krai,Altai Krai,阿尔泰边疆区
Arkhangelsk Oblast,Arkhangelsk Oblast,阿尔汉格尔斯克州
Republic of Bashkortostan,Republic of Bashkortostan,巴什科尔托斯坦共和国
Chechnya,Chechnya,车臣共和国
Chelyabinsk Oblast,Chelyabinsk Oblast,车里雅宾斯克州
Чукотский Аутономус Область,Chukotka Autonomous Okrug,楚科奇自治区
Chuvashia Republic,Chuvashia Republic,楚瓦什共和国
Dagestan Republic,Dagestan Republic,达吉斯坦
Ingushetia,Ingushetia,印古什共和国
Еврейская Аутономус Область,Jewish Autonomous Oblast,犹太自治州
Kabardino-Balkaria,Kabardino-Balkaria,卡巴尔达-巴尔卡尔共和国
Kalmykia,Kalmykia,卡尔梅克共和国
Karachay-Cherkessia,Karachay-Cherkessia,卡拉恰伊-切尔克斯共和国
Republic of Karelia,Republic of Karelia,卡累利阿共和国
Khabarovsk Krai,Khabarovsk Krai,哈巴罗夫斯克边疆区
Republic of Khakassia,Republic of Khakassia,哈卡斯共和国
ХМАО,Khanty-Mansi Autonomous Okrug,汉特-曼西自治区
Krasnodar Krai,Krasnodar Krai,克拉斯诺达尔边疆区
Krasnoyarsk Krai,Krasnoyarsk Krai,克拉斯诺亚尔斯克边疆区
Mari El Republic,Mari El Republic,马里埃尔共和国
Mordovia,Mordovia,莫尔多瓦共和国
МО,Moscow Oblast,莫斯科州
Ненецкий Аутономус Область,Nenets Autonomous Okrug,涅涅茨自治区
North Ossetia–Alania,North Ossetia–Alania,北奥塞梯-阿兰共和国
Primorsky Krai,Primorsky Krai,滨海边疆区
Sakha Republic,Sakha Republic,萨哈共和国
Stavropol Krai,Stavropol Krai,斯塔夫罗波尔边疆区
Tatarstan,Tatarstan,鞑靼斯坦共和国
Tuva,Tuva,图瓦共和国
Udmurt Republic,Udmurt Republic,乌德穆尔特共和国
Ямало-Ненецкий Аутономус Область,Yamalo-Nenets Autonomous Okrug,亚马尔-涅涅茨自治区
Zabaykalsky Krai,Zabaykalsky Krai,外贝加尔边疆区
